dia_semana;hour;mortos
domingo;0;112.0
domingo;1;159.0
domingo;2;85.0
domingo;3;139.0
domingo;4;83.0
domingo;5;114.0
domingo;6;126.0
domingo;7;64.0
domingo;8;141.0
domingo;9;111.0
domingo;10;188.0
domingo;11;76.0
domingo;12;89.0
domingo;13;111.0
domingo;14;147.0
domingo;15;211.0
domingo;16;178.0
domingo;17;187.0
domingo;18;347.0
domingo;19;449.0
domingo;20;380.0
domingo;21;195.0
domingo;22;180.0
domingo;23;198.0
quarta-feira;0;34.0
quarta-feira;1;27.0
quarta-feira;2;27.0
quarta-feira;3;25.0
quarta-feira;4;30.0
quarta-feira;5;72.0
quarta-feira;6;103.0
quarta-feira;7;74.0
quarta-feira;8;87.0
quarta-feira;9;63.0
quarta-feira;10;69.0
quarta-feira;11;65.0
quarta-feira;12;38.0
quarta-feira;13;170.0
quarta-feira;14;78.0
quarta-feira;15;53.0
quarta-feira;16;114.0
quarta-feira;17;114.0
quarta-feira;18;174.0
quarta-feira;19;129.0
quarta-feira;20;159.0
quarta-feira;21;162.0
quarta-feira;22;146.0
quarta-feira;23;74.0
quinta-feira;0;43.0
quinta-feira;1;88.0
quinta-feira;2;54.0
quinta-feira;3;26.0
quinta-feira;4;101.0
quinta-feira;5;78.0
quinta-feira;6;105.0
quinta-feira;7;51.0
quinta-feira;8;66.0
quinta-feira;9;94.0
quinta-feira;10;95.0
quinta-feira;11;101.0
quinta-feira;12;122.0
quinta-feira;13;75.0
quinta-feira;14;179.0
quinta-feira;15;83.0
quinta-feira;16;136.0
quinta-feira;17;115.0
quinta-feira;18;149.0
quinta-feira;19;157.0
quinta-feira;20;111.0
quinta-feira;21;105.0
quinta-feira;22;61.0
quinta-feira;23;24.0
segunda-feira;0;130.0
segunda-feira;1;76.0
segunda-feira;2;99.0
segunda-feira;3;57.0
segunda-feira;4;61.0
segunda-feira;5;57.0
segunda-feira;6;165.0
segunda-feira;7;133.0
segunda-feira;8;131.0
segunda-feira;9;66.0
segunda-feira;10;101.0
segunda-feira;11;107.0
segunda-feira;12;57.0
segunda-feira;13;123.0
segunda-feira;14;110.0
segunda-feira;15;102.0
segunda-feira;16;87.0
segunda-feira;17;225.0
segunda-feira;18;143.0
segunda-feira;19;143.0
segunda-feira;20;118.0
segunda-feira;21;115.0
segunda-feira;22;105.0
segunda-feira;23;47.0
sexta-feira;0;85.0
sexta-feira;1;38.0
sexta-feira;2;127.0
sexta-feira;3;65.0
sexta-feira;4;183.0
sexta-feira;5;83.0
sexta-feira;6;68.0
sexta-feira;7;253.0
sexta-feira;8;121.0
sexta-feira;9;86.0
sexta-feira;10;63.0
sexta-feira;11;88.0
sexta-feira;12;144.0
sexta-feira;13;179.0
sexta-feira;14;98.0
sexta-feira;15;103.0
sexta-feira;16;173.0
sexta-feira;17;94.0
sexta-feira;18;278.0
sexta-feira;19;236.0
sexta-feira;20;224.0
sexta-feira;21;212.0
sexta-feira;22;140.0
sexta-feira;23;134.0
sábado;0;110.0
sábado;1;81.0
sábado;2;145.0
sábado;3;77.0
sábado;4;160.0
sábado;5;238.0
sábado;6;101.0
sábado;7;108.0
sábado;8;96.0
sábado;9;88.0
sábado;10;37.0
sábado;11;91.0
sábado;12;104.0
sábado;13;92.0
sábado;14;125.0
sábado;15;150.0
sábado;16;141.0
sábado;17;177.0
sábado;18;375.0
sábado;19;237.0
sábado;20;259.0
sábado;21;272.0
sábado;22;204.0
sábado;23;198.0
terça-feira;0;15.0
terça-feira;1;54.0
terça-feira;2;40.0
terça-feira;3;58.0
terça-feira;4;52.0
terça-feira;5;208.0
terça-feira;6;96.0
terça-feira;7;75.0
terça-feira;8;61.0
terça-feira;9;190.0
terça-feira;10;78.0
terça-feira;11;98.0
terça-feira;12;46.0
terça-feira;13;84.0
terça-feira;14;86.0
terça-feira;15;94.0
terça-feira;16;101.0
terça-feira;17;125.0
terça-feira;18;175.0
terça-feira;19;207.0
terça-feira;20;125.0
terça-feira;21;77.0
terça-feira;22;67.0
terça-feira;23;101.0
