dia_semana;hour;mortos
domingo;0;156.0
domingo;1;133.0
domingo;2;119.0
domingo;3;126.0
domingo;4;186.0
domingo;5;264.0
domingo;6;205.0
domingo;7;98.0
domingo;8;125.0
domingo;9;140.0
domingo;10;85.0
domingo;11;127.0
domingo;12;115.0
domingo;13;63.0
domingo;14;165.0
domingo;15;209.0
domingo;16;192.0
domingo;17;352.0
domingo;18;300.0
domingo;19;462.0
domingo;20;268.0
domingo;21;187.0
domingo;22;160.0
domingo;23;107.0
quarta-feira;0;59.0
quarta-feira;1;36.0
quarta-feira;2;101.0
quarta-feira;3;34.0
quarta-feira;4;43.0
quarta-feira;5;137.0
quarta-feira;6;275.0
quarta-feira;7;177.0
quarta-feira;8;72.0
quarta-feira;9;49.0
quarta-feira;10;115.0
quarta-feira;11;107.0
quarta-feira;12;54.0
quarta-feira;13;125.0
quarta-feira;14;87.0
quarta-feira;15;105.0
quarta-feira;16;79.0
quarta-feira;17;131.0
quarta-feira;18;130.0
quarta-feira;19;135.0
quarta-feira;20;237.0
quarta-feira;21;71.0
quarta-feira;22;110.0
quarta-feira;23;72.0
quinta-feira;0;98.0
quinta-feira;1;42.0
quinta-feira;2;44.0
quinta-feira;3;112.0
quinta-feira;4;56.0
quinta-feira;5;124.0
quinta-feira;6;111.0
quinta-feira;7;82.0
quinta-feira;8;96.0
quinta-feira;9;69.0
quinta-feira;10;151.0
quinta-feira;11;100.0
quinta-feira;12;108.0
quinta-feira;13;125.0
quinta-feira;14;138.0
quinta-feira;15;132.0
quinta-feira;16;95.0
quinta-feira;17;198.0
quinta-feira;18;145.0
quinta-feira;19;230.0
quinta-feira;20;134.0
quinta-feira;21;193.0
quinta-feira;22;60.0
quinta-feira;23;56.0
segunda-feira;0;85.0
segunda-feira;1;87.0
segunda-feira;2;96.0
segunda-feira;3;85.0
segunda-feira;4;86.0
segunda-feira;5;116.0
segunda-feira;6;236.0
segunda-feira;7;165.0
segunda-feira;8;54.0
segunda-feira;9;77.0
segunda-feira;10;63.0
segunda-feira;11;91.0
segunda-feira;12;100.0
segunda-feira;13;110.0
segunda-feira;14;127.0
segunda-feira;15;123.0
segunda-feira;16;189.0
segunda-feira;17;104.0
segunda-feira;18;189.0
segunda-feira;19;157.0
segunda-feira;20;54.0
segunda-feira;21;61.0
segunda-feira;22;72.0
segunda-feira;23;60.0
sexta-feira;0;114.0
sexta-feira;1;81.0
sexta-feira;2;24.0
sexta-feira;3;134.0
sexta-feira;4;148.0
sexta-feira;5;216.0
sexta-feira;6;270.0
sexta-feira;7;87.0
sexta-feira;8;38.0
sexta-feira;9;133.0
sexta-feira;10;53.0
sexta-feira;11;111.0
sexta-feira;12;138.0
sexta-feira;13;102.0
sexta-feira;14;161.0
sexta-feira;15;118.0
sexta-feira;16;196.0
sexta-feira;17;227.0
sexta-feira;18;340.0
sexta-feira;19;271.0
sexta-feira;20;229.0
sexta-feira;21;261.0
sexta-feira;22;243.0
sexta-feira;23;90.0
terça-feira;0;65.0
terça-feira;1;48.0
terça-feira;2;52.0
terça-feira;3;160.0
terça-feira;4;41.0
terça-feira;5;125.0
terça-feira;6;118.0
terça-feira;7;85.0
terça-feira;8;51.0
terça-feira;9;127.0
terça-feira;10;56.0
terça-feira;11;40.0
terça-feira;12;42.0
terça-feira;13;140.0
terça-feira;14;119.0
terça-feira;15;222.0
terça-feira;16;156.0
terça-feira;17;132.0
terça-feira;18;116.0
terça-feira;19;208.0
terça-feira;20;67.0
terça-feira;21;279.0
terça-feira;22;153.0
terça-feira;23;47.0
