dia_semana;hour;mortos
domingo;0;26.0
domingo;1;31.0
domingo;2;45.0
domingo;3;25.0
domingo;4;41.0
domingo;5;59.0
domingo;6;35.0
domingo;7;17.0
domingo;8;16.0
domingo;9;23.0
domingo;10;26.0
domingo;11;22.0
domingo;12;23.0
domingo;13;13.0
domingo;14;29.0
domingo;15;30.0
domingo;16;34.0
domingo;17;55.0
domingo;18;83.0
domingo;19;80.0
domingo;20;54.0
domingo;21;55.0
domingo;22;47.0
domingo;23;43.0
quarta-feira;0;15.0
quarta-feira;1;13.0
quarta-feira;2;9.0
quarta-feira;3;9.0
quarta-feira;4;10.0
quarta-feira;5;15.0
quarta-feira;6;25.0
quarta-feira;7;20.0
quarta-feira;8;15.0
quarta-feira;9;12.0
quarta-feira;10;9.0
quarta-feira;11;15.0
quarta-feira;12;15.0
quarta-feira;13;21.0
quarta-feira;14;19.0
quarta-feira;15;23.0
quarta-feira;16;21.0
quarta-feira;17;32.0
quarta-feira;18;50.0
quarta-feira;19;45.0
quarta-feira;20;39.0
quarta-feira;21;30.0
quarta-feira;22;21.0
quarta-feira;23;21.0
quinta-feira;0;25.0
quinta-feira;1;19.0
quinta-feira;2;11.0
quinta-feira;3;14.0
quinta-feira;4;13.0
quinta-feira;5;16.0
quinta-feira;6;19.0
quinta-feira;7;17.0
quinta-feira;8;19.0
quinta-feira;9;21.0
quinta-feira;10;6.0
quinta-feira;11;20.0
quinta-feira;12;18.0
quinta-feira;13;21.0
quinta-feira;14;22.0
quinta-feira;15;14.0
quinta-feira;16;26.0
quinta-feira;17;29.0
quinta-feira;18;44.0
quinta-feira;19;53.0
quinta-feira;20;45.0
quinta-feira;21;34.0
quinta-feira;22;28.0
quinta-feira;23;15.0
segunda-feira;0;26.0
segunda-feira;1;24.0
segunda-feira;2;17.0
segunda-feira;3;17.0
segunda-feira;4;19.0
segunda-feira;5;37.0
segunda-feira;6;39.0
segunda-feira;7;27.0
segunda-feira;8;11.0
segunda-feira;9;14.0
segunda-feira;10;13.0
segunda-feira;11;22.0
segunda-feira;12;19.0
segunda-feira;13;20.0
segunda-feira;14;17.0
segunda-feira;15;13.0
segunda-feira;16;23.0
segunda-feira;17;26.0
segunda-feira;18;45.0
segunda-feira;19;40.0
segunda-feira;20;22.0
segunda-feira;21;25.0
segunda-feira;22;14.0
segunda-feira;23;27.0
sexta-feira;0;8.0
sexta-feira;1;17.0
sexta-feira;2;14.0
sexta-feira;3;19.0
sexta-feira;4;17.0
sexta-feira;5;31.0
sexta-feira;6;23.0
sexta-feira;7;30.0
sexta-feira;8;22.0
sexta-feira;9;17.0
sexta-feira;10;21.0
sexta-feira;11;18.0
sexta-feira;12;21.0
sexta-feira;13;24.0
sexta-feira;14;31.0
sexta-feira;15;28.0
sexta-feira;16;25.0
sexta-feira;17;33.0
sexta-feira;18;62.0
sexta-feira;19;54.0
sexta-feira;20;38.0
sexta-feira;21;36.0
sexta-feira;22;23.0
sexta-feira;23;29.0
sábado;0;25.0
sábado;1;19.0
sábado;2;12.0
sábado;3;30.0
sábado;4;54.0
sábado;5;46.0
sábado;6;37.0
sábado;7;28.0
sábado;8;15.0
sábado;9;16.0
sábado;10;18.0
sábado;11;17.0
sábado;12;22.0
sábado;13;27.0
sábado;14;23.0
sábado;15;33.0
sábado;16;40.0
sábado;17;33.0
sábado;18;65.0
sábado;19;68.0
sábado;20;60.0
sábado;21;60.0
sábado;22;53.0
sábado;23;39.0
terça-feira;0;14.0
terça-feira;1;10.0
terça-feira;2;11.0
terça-feira;3;17.0
terça-feira;4;14.0
terça-feira;5;14.0
terça-feira;6;26.0
terça-feira;7;30.0
terça-feira;8;14.0
terça-feira;9;14.0
terça-feira;10;13.0
terça-feira;11;23.0
terça-feira;12;16.0
terça-feira;13;14.0
terça-feira;14;28.0
terça-feira;15;24.0
terça-feira;16;27.0
terça-feira;17;29.0
terça-feira;18;50.0
terça-feira;19;33.0
terça-feira;20;31.0
terça-feira;21;18.0
terça-feira;22;17.0
terça-feira;23;18.0
