dia_semana;hour;mortos
domingo;0;33.0
domingo;1;34.0
domingo;2;41.0
domingo;3;37.0
domingo;4;40.0
domingo;5;54.0
domingo;6;30.0
domingo;7;25.0
domingo;8;22.0
domingo;9;27.0
domingo;10;25.0
domingo;11;23.0
domingo;12;19.0
domingo;13;24.0
domingo;14;37.0
domingo;15;39.0
domingo;16;37.0
domingo;17;58.0
domingo;18;103.0
domingo;19;90.0
domingo;20;80.0
domingo;21;58.0
domingo;22;40.0
domingo;23;55.0
quarta-feira;0;12.0
quarta-feira;1;22.0
quarta-feira;2;15.0
quarta-feira;3;20.0
quarta-feira;4;15.0
quarta-feira;5;26.0
quarta-feira;6;24.0
quarta-feira;7;27.0
quarta-feira;8;25.0
quarta-feira;9;15.0
quarta-feira;10;16.0
quarta-feira;11;27.0
quarta-feira;12;18.0
quarta-feira;13;18.0
quarta-feira;14;21.0
quarta-feira;15;27.0
quarta-feira;16;25.0
quarta-feira;17;30.0
quarta-feira;18;42.0
quarta-feira;19;59.0
quarta-feira;20;35.0
quarta-feira;21;34.0
quarta-feira;22;28.0
quarta-feira;23;25.0
quinta-feira;0;23.0
quinta-feira;1;9.0
quinta-feira;2;12.0
quinta-feira;3;15.0
quinta-feira;4;15.0
quinta-feira;5;32.0
quinta-feira;6;34.0
quinta-feira;7;28.0
quinta-feira;8;11.0
quinta-feira;9;11.0
quinta-feira;10;13.0
quinta-feira;11;26.0
quinta-feira;12;14.0
quinta-feira;13;33.0
quinta-feira;14;26.0
quinta-feira;15;21.0
quinta-feira;16;33.0
quinta-feira;17;37.0
quinta-feira;18;45.0
quinta-feira;19;67.0
quinta-feira;20;40.0
quinta-feira;21;38.0
quinta-feira;22;26.0
quinta-feira;23;30.0
segunda-feira;0;23.0
segunda-feira;1;19.0
segunda-feira;2;16.0
segunda-feira;3;20.0
segunda-feira;4;19.0
segunda-feira;5;45.0
segunda-feira;6;28.0
segunda-feira;7;35.0
segunda-feira;8;21.0
segunda-feira;9;14.0
segunda-feira;10;14.0
segunda-feira;11;32.0
segunda-feira;12;28.0
segunda-feira;13;28.0
segunda-feira;14;27.0
segunda-feira;15;24.0
segunda-feira;16;34.0
segunda-feira;17;35.0
segunda-feira;18;41.0
segunda-feira;19;51.0
segunda-feira;20;32.0
segunda-feira;21;28.0
segunda-feira;22;20.0
segunda-feira;23;19.0
sexta-feira;0;19.0
sexta-feira;1;13.0
sexta-feira;2;19.0
sexta-feira;3;19.0
sexta-feira;4;21.0
sexta-feira;5;31.0
sexta-feira;6;30.0
sexta-feira;7;28.0
sexta-feira;8;33.0
sexta-feira;9;13.0
sexta-feira;10;20.0
sexta-feira;11;31.0
sexta-feira;12;20.0
sexta-feira;13;24.0
sexta-feira;14;26.0
sexta-feira;15;32.0
sexta-feira;16;31.0
sexta-feira;17;42.0
sexta-feira;18;58.0
sexta-feira;19;71.0
sexta-feira;20;56.0
sexta-feira;21;43.0
sexta-feira;22;40.0
sexta-feira;23;29.0
sábado;0;29.0
sábado;1;34.0
sábado;2;41.0
sábado;3;37.0
sábado;4;46.0
sábado;5;47.0
sábado;6;44.0
sábado;7;27.0
sábado;8;29.0
sábado;9;13.0
sábado;10;25.0
sábado;11;26.0
sábado;12;28.0
sábado;13;26.0
sábado;14;19.0
sábado;15;30.0
sábado;16;26.0
sábado;17;41.0
sábado;18;76.0
sábado;19;80.0
sábado;20;53.0
sábado;21;56.0
sábado;22;52.0
sábado;23;45.0
terça-feira;0;16.0
terça-feira;1;12.0
terça-feira;2;14.0
terça-feira;3;13.0
terça-feira;4;10.0
terça-feira;5;17.0
terça-feira;6;33.0
terça-feira;7;38.0
terça-feira;8;23.0
terça-feira;9;17.0
terça-feira;10;21.0
terça-feira;11;27.0
terça-feira;12;25.0
terça-feira;13;21.0
terça-feira;14;27.0
terça-feira;15;29.0
terça-feira;16;21.0
terça-feira;17;28.0
terça-feira;18;56.0
terça-feira;19;51.0
terça-feira;20;31.0
terça-feira;21;27.0
terça-feira;22;34.0
terça-feira;23;23.0
