dia_semana;hour;mortos
domingo;0;64
domingo;1;42
domingo;2;52
domingo;3;48
domingo;4;76
domingo;5;79
domingo;6;58
domingo;7;43
domingo;8;39
domingo;9;38
domingo;10;29
domingo;11;36
domingo;12;36
domingo;13;51
domingo;14;53
domingo;15;52
domingo;16;97
domingo;17;72
domingo;18;132
domingo;19;129
domingo;20;87
domingo;21;65
domingo;22;69
domingo;23;57
quarta-feira;0;19
quarta-feira;1;10
quarta-feira;2;17
quarta-feira;3;13
quarta-feira;4;16
quarta-feira;5;33
quarta-feira;6;45
quarta-feira;7;33
quarta-feira;8;32
quarta-feira;9;18
quarta-feira;10;20
quarta-feira;11;25
quarta-feira;12;35
quarta-feira;13;30
quarta-feira;14;41
quarta-feira;15;27
quarta-feira;16;44
quarta-feira;17;38
quarta-feira;18;53
quarta-feira;19;63
quarta-feira;20;37
quarta-feira;21;25
quarta-feira;22;33
quarta-feira;23;31
quinta-feira;0;28
quinta-feira;1;26
quinta-feira;2;26
quinta-feira;3;17
quinta-feira;4;33
quinta-feira;5;32
quinta-feira;6;42
quinta-feira;7;38
quinta-feira;8;28
quinta-feira;9;21
quinta-feira;10;29
quinta-feira;11;20
quinta-feira;12;26
quinta-feira;13;28
quinta-feira;14;38
quinta-feira;15;34
quinta-feira;16;45
quinta-feira;17;42
quinta-feira;18;50
quinta-feira;19;63
quinta-feira;20;55
quinta-feira;21;45
quinta-feira;22;45
quinta-feira;23;31
segunda-feira;0;18
segunda-feira;1;12
segunda-feira;2;21
segunda-feira;3;20
segunda-feira;4;25
segunda-feira;5;47
segunda-feira;6;41
segunda-feira;7;46
segunda-feira;8;36
segunda-feira;9;33
segunda-feira;10;28
segunda-feira;11;28
segunda-feira;12;27
segunda-feira;13;28
segunda-feira;14;33
segunda-feira;15;50
segunda-feira;16;43
segunda-feira;17;38
segunda-feira;18;55
segunda-feira;19;59
segunda-feira;20;31
segunda-feira;21;32
segunda-feira;22;20
segunda-feira;23;28
sexta-feira;0;22
sexta-feira;1;29
sexta-feira;2;15
sexta-feira;3;17
sexta-feira;4;19
sexta-feira;5;42
sexta-feira;6;55
sexta-feira;7;40
sexta-feira;8;29
sexta-feira;9;29
sexta-feira;10;32
sexta-feira;11;31
sexta-feira;12;58
sexta-feira;13;30
sexta-feira;14;28
sexta-feira;15;45
sexta-feira;16;40
sexta-feira;17;44
sexta-feira;18;83
sexta-feira;19;75
sexta-feira;20;65
sexta-feira;21;75
sexta-feira;22;59
sexta-feira;23;47
terça-feira;0;17
terça-feira;1;12
terça-feira;2;17
terça-feira;3;7
terça-feira;4;17
terça-feira;5;33
terça-feira;6;32
terça-feira;7;36
terça-feira;8;27
terça-feira;9;20
terça-feira;10;27
terça-feira;11;30
terça-feira;12;21
terça-feira;13;27
terça-feira;14;31
terça-feira;15;30
terça-feira;16;37
terça-feira;17;39
terça-feira;18;52
terça-feira;19;52
terça-feira;20;40
terça-feira;21;40
terça-feira;22;30
terça-feira;23;18
