dia_semana;hour;mortos
domingo;0;42
domingo;1;37
domingo;2;52
domingo;3;53
domingo;4;72
domingo;5;65
domingo;6;78
domingo;7;23
domingo;8;31
domingo;9;28
domingo;10;41
domingo;11;35
domingo;12;32
domingo;13;44
domingo;14;61
domingo;15;59
domingo;16;56
domingo;17;74
domingo;18;150
domingo;19;127
domingo;20;99
domingo;21;66
domingo;22;59
domingo;23;46
quarta-feira;0;16
quarta-feira;1;14
quarta-feira;2;7
quarta-feira;3;10
quarta-feira;4;25
quarta-feira;5;27
quarta-feira;6;37
quarta-feira;7;36
quarta-feira;8;38
quarta-feira;9;29
quarta-feira;10;21
quarta-feira;11;25
quarta-feira;12;19
quarta-feira;13;22
quarta-feira;14;32
quarta-feira;15;34
quarta-feira;16;34
quarta-feira;17;40
quarta-feira;18;66
quarta-feira;19;51
quarta-feira;20;45
quarta-feira;21;49
quarta-feira;22;45
quarta-feira;23;28
quinta-feira;0;28
quinta-feira;1;19
quinta-feira;2;16
quinta-feira;3;15
quinta-feira;4;30
quinta-feira;5;46
quinta-feira;6;47
quinta-feira;7;25
quinta-feira;8;26
quinta-feira;9;40
quinta-feira;10;30
quinta-feira;11;18
quinta-feira;12;20
quinta-feira;13;34
quinta-feira;14;33
quinta-feira;15;38
quinta-feira;16;33
quinta-feira;17;33
quinta-feira;18;59
quinta-feira;19;62
quinta-feira;20;45
quinta-feira;21;48
quinta-feira;22;33
quinta-feira;23;35
segunda-feira;0;46
segunda-feira;1;21
segunda-feira;2;32
segunda-feira;3;23
segunda-feira;4;14
segunda-feira;5;41
segunda-feira;6;45
segunda-feira;7;39
segunda-feira;8;33
segunda-feira;9;19
segunda-feira;10;23
segunda-feira;11;46
segunda-feira;12;23
segunda-feira;13;30
segunda-feira;14;29
segunda-feira;15;43
segunda-feira;16;37
segunda-feira;17;39
segunda-feira;18;65
segunda-feira;19;76
segunda-feira;20;44
segunda-feira;21;33
segunda-feira;22;25
segunda-feira;23;25
sexta-feira;0;25
sexta-feira;1;20
sexta-feira;2;24
sexta-feira;3;26
sexta-feira;4;37
sexta-feira;5;29
sexta-feira;6;50
sexta-feira;7;44
sexta-feira;8;44
sexta-feira;9;20
sexta-feira;10;35
sexta-feira;11;31
sexta-feira;12;33
sexta-feira;13;28
sexta-feira;14;51
sexta-feira;15;47
sexta-feira;16;43
sexta-feira;17;53
sexta-feira;18;89
sexta-feira;19;78
sexta-feira;20;75
sexta-feira;21;55
sexta-feira;22;50
sexta-feira;23;40
sábado;0;48
sábado;1;40
sábado;2;29
sábado;3;49
sábado;4;60
sábado;5;57
sábado;6;64
sábado;7;30
sábado;8;39
sábado;9;23
sábado;10;37
sábado;11;39
sábado;12;32
sábado;13;26
sábado;14;43
sábado;15;57
sábado;16;75
sábado;17;54
sábado;18;83
sábado;19;119
sábado;20;74
sábado;21;57
sábado;22;73
sábado;23;65
terça-feira;0;23
terça-feira;1;19
terça-feira;2;20
terça-feira;3;19
terça-feira;4;30
terça-feira;5;24
terça-feira;6;38
terça-feira;7;33
terça-feira;8;22
terça-feira;9;19
terça-feira;10;26
terça-feira;11;20
terça-feira;12;24
terça-feira;13;28
terça-feira;14;37
terça-feira;15;28
terça-feira;16;31
terça-feira;17;51
terça-feira;18;60
terça-feira;19;75
terça-feira;20;30
terça-feira;21;45
terça-feira;22;31
terça-feira;23;37
