a,b,country_a,country_b,same_country,n_items,score,items,opposing
'Ndrangheta,Aryan Brotherhood,Italy,United States,False,3,3,"['American Mafia', 'Gambino crime family', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
'Ndrangheta,Cleveland crime family,Italy,United States,False,3,3,"['American Mafia', 'Gambino crime family', 'Hells Angels Motorcycle Club']",[]
'Ndrangheta,Genovese crime family,Italy,United States,False,3,3,"['Gambino crime family', 'Hells Angels Motorcycle Club', 'Solntsevskaya Bratva']",['Gambino crime family']
Kinahan Organised Crime Group,Satan's Choice Motorcycle Club,Ireland,Canada,False,3,3,"[""'Ndrangheta"", 'Chosen Few Motorcycle Club', 'Hells Angels Motorcycle Club']",['Hells Angels Motorcycle Club']
Camorra,La Línea,Italy,Mexico,False,3,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Tren de Aragua']",[]
Camorra,Mara Salvatrucha,Italy,United States,False,3,3,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel', 'Tren de Aragua']",[]
Cártel de Caborca,La Familia Michoacana,Mexico,Mexico,True,3,3,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel', 'Tijuana Cartel']",['Cártel de Jalisco Nueva Generación']
Los Mexicles,Tren de Aragua,Mexico,Venezuela,False,3,3,"['Cártel de Jalisco Nueva Generación', 'La Empresa', 'La Línea']",['La Línea']
Nuestra Familia,Sinaloa Cartel,United States,Mexico,False,3,3,"['Crips', 'Cártel de Jalisco Nueva Generación', 'Latin Kings']",['Cártel de Jalisco Nueva Generación']
Revolutionary Armed Forces of Colombia,Tren de Aragua,Colombia,Venezuela,False,3,3,"['Comando Vermelho', 'Cártel de Jalisco Nueva Generación', 'Primeiro Comando da Capital']",['Comando Vermelho']
Tren de Aragua,Yakuza,Venezuela,Japan,False,3,3,"['American Mafia', 'Cártel de Jalisco Nueva Generación', 'Primeiro Comando da Capital']",[]
Banda della Magliana,Clan dei Casalesi,Italy,Italy,True,3,3,"[""'Ndrangheta"", 'Nuova Camorra Organizzata', 'Società foggiana']",['Nuova Camorra Organizzata']
'Ndrangheta,Alfieri clan,Italy,Italy,True,3,3,"['Clan Cappello', 'Clan dei Casalesi', 'Corleonesi']",['Clan dei Casalesi']
'Ndrangheta,Clan Lubrano-Ligato,Italy,Italy,True,3,3,"['Banda della Magliana', 'Corleonesi', 'Polverino clan']",[]
'Ndrangheta,Greco Mafia clan,Italy,Italy,True,3,3,"['American Mafia', 'Corleonesi', 'Sicilian Mafia']",['Sicilian Mafia']
Camorra,Greco Mafia clan,Italy,Italy,True,3,3,"['American Mafia', 'Corleonesi', 'Sicilian Mafia']",[]
Clan Lubrano-Ligato,Sicilian Mafia,Italy,Italy,True,3,3,"['Banda della Magliana', 'Corleonesi', 'Polverino clan']",['Corleonesi']
'Ndrina Giuliano,Clan Fabbrocino,Italy,Italy,True,3,3,"['Clan Mazzarella', 'Clan Nuvoletta', 'Nuova Famiglia']",['Clan Mazzarella']
Clan Fabbrocino,Clan Misso,Italy,Italy,True,3,3,"['Clan Mazzarella', 'Clan Russo dei Quartieri Spagnoli', 'Nuova Famiglia']",['Clan Russo dei Quartieri Spagnoli']
Camorra,Clan dei Cursoti,Italy,Italy,True,3,3,"['Catania Mafia family', 'Clan Cappello', 'Stidda']",['Catania Mafia family']
'Ndrina Mancuso,Nuova Camorra Organizzata,Italy,Italy,True,3,3,"[""'Ndrina De Stefano"", ""'Ndrina Piromalli"", 'Clan dei Casalesi']",['Clan dei Casalesi']
Camorra,Gang de la Brise de Mer,Italy,France,False,3,3,"[""'Ndrangheta"", 'American Mafia', 'Sicilian Mafia']",[]
Corleonesi,Polverino clan,Italy,Italy,True,3,3,"[""'Ndrangheta"", 'Clan Lubrano-Ligato', 'Sicilian Mafia']",['Sicilian Mafia']
Corleonesi,Solntsevskaya Bratva,Italy,Russia,False,3,3,"[""'Ndrangheta"", 'Cuntrera-Caruana Mafia clan', 'Sicilian Mafia']",['Sicilian Mafia']
Gang de la Brise de Mer,Los Zetas,France,Mexico,False,3,3,"[""'Ndrangheta"", 'Clan del Golfo', 'Sicilian Mafia']",[]
Gang de la Brise de Mer,Sinaloa Cartel,France,Mexico,False,3,3,"[""'Ndrangheta"", 'American Mafia', 'Clan del Golfo']",[]
Gang de la Brise de Mer,Tren de Aragua,France,Venezuela,False,3,3,"[""'Ndrangheta"", 'American Mafia', 'Clan del Golfo']",['Clan del Golfo']
Los Choneros,Tren de Aragua,Ecuador,Venezuela,False,3,3,"[""'Ndrangheta"", 'Clan del Golfo', 'Primeiro Comando da Capital']",['Clan del Golfo']
116th Street Crew,Detroit Partnership,United States,United States,True,3,3,"['Bonanno crime family', 'Colombo crime family', 'Gambino crime family']",[]
116th Street Crew,Lucchese crime family Brooklyn faction,United States,United States,True,3,3,"['Bonanno crime family', 'Colombo crime family', 'Gambino crime family']",[]
116th Street Crew,Patriarca crime family,United States,United States,True,3,3,"['Bonanno crime family', 'Colombo crime family', 'Gambino crime family']",[]
116th Street Crew,Philadelphia crime family,United States,United States,True,3,3,"['Bonanno crime family', 'Gambino crime family', 'Lucchese crime family']",['Gambino crime family']
116th Street Crew,Trafficante crime family,United States,United States,True,3,3,"['Bonanno crime family', 'Gambino crime family', 'Lucchese crime family']",[]
Aryan Brotherhood,Detroit Partnership,United States,United States,True,3,3,"['Chicago Outfit', 'Gambino crime family', 'Philadelphia crime family']",[]
Chicago Outfit,Latin Kings,United States,United States,True,3,3,"['Almighty Black P. Stone Nation', 'Gambino crime family', 'Genovese crime family']",[]
Cleveland crime family,Latin Kings,United States,United States,True,3,3,"['American Mafia', 'Gambino crime family', 'Genovese crime family']",[]
Detroit Partnership,Greenwich Village Crew,United States,United States,True,3,3,"['Bonanno crime family', 'Colombo crime family', 'Gambino crime family']",[]
Greenwich Village Crew,Lucchese crime family Brooklyn faction,United States,United States,True,3,3,"['Bonanno crime family', 'Colombo crime family', 'Gambino crime family']",[]
Greenwich Village Crew,Patriarca crime family,United States,United States,True,3,3,"['Bonanno crime family', 'Colombo crime family', 'Gambino crime family']",[]
Greenwich Village Crew,Philadelphia crime family,United States,United States,True,3,3,"['Bonanno crime family', 'Gambino crime family', 'Lucchese crime family']",['Gambino crime family']
Greenwich Village Crew,Trafficante crime family,United States,United States,True,3,3,"['Bonanno crime family', 'Gambino crime family', 'Lucchese crime family']",[]
Los Angeles crime family,Lucchese crime family Brooklyn faction,United States,United States,True,3,3,"['Colombo crime family', 'Gambino crime family', 'Genovese crime family']",[]
Lucchese crime family Brooklyn faction,Trafficante crime family,United States,United States,True,3,3,"['Bonanno crime family', 'Gambino crime family', 'Genovese crime family']",[]
Mexican Mafia,Pagan's Motorcycle Club,United States,United States,True,3,3,"['American Mafia', 'Gambino crime family', 'Mongols MC']",['Mongols MC']
Nazi Lowriders,Pagan's Motorcycle Club,United States,United States,True,3,3,"['Gambino crime family', 'Mongols MC', 'Philadelphia crime family']",[]
Big Circle Gang,Camorra,China,Italy,False,3,3,"[""'Ndrangheta"", 'American Mafia', 'Cali Cartel']",[]
Big Circle Gang,Martinez Familia Sangeros,China,Puerto Rico,False,3,3,"['American Mafia', 'Cali Cartel', 'Ñetas']",[]
Big Circle Gang,Tren de Aragua,China,Venezuela,False,3,3,"[""'Ndrangheta"", 'American Mafia', 'Mara Salvatrucha']",[]
Hells Angels Motorcycle Club,Siderno Group,United States,Italy,False,3,3,"['American Mafia', 'Cotroni crime family', 'Musitano crime family']",['Musitano crime family']
Siderno Group,West End Gang,Italy,Canada,False,3,3,"['American Mafia', 'Cotroni crime family', 'Musitano crime family']",['Musitano crime family']
'Ndrina Mammoliti,Banda della Magliana,Italy,Italy,True,3,3,"[""'Ndrina De Stefano"", ""'Ndrina Romeo"", 'Nuova Camorra Organizzata']","[""'Ndrina De Stefano""]"
Basilischi,Clan dei Casalesi,Italy,Italy,True,3,3,"[""'Ndrangheta"", ""'Ndrina Morabito"", ""'Ndrina Pesce""]",[]
Big Circle Gang,Gulf Cartel,China,Mexico,False,3,3,"[""'Ndrangheta"", 'Cali Cartel', 'Mara Salvatrucha']",[]
Capriati clan,Clan dei Casalesi,Italy,Italy,True,3,3,"[""'Ndrangheta"", ""'Ndrina Bellocco"", ""'Ndrina Piromalli""]",[]
Clan Cappello,Clan Licciardi,Italy,Italy,True,3,3,"[""'Ndrangheta"", ""'Ndrina Giuliano"", 'Mallardo clan']","[""'Ndrina Giuliano""]"
Gambino crime family,Gulf Cartel,United States,Mexico,False,3,3,"[""'Ndrangheta"", 'Latin Kings', 'Mexican Mafia']",[]
Almighty Black P. Stone Nation,Gambino crime family,United States,United States,True,3,3,"['Bloods', 'Chicago Outfit', 'Latin Kings']",[]
Almighty Black P. Stone Nation,Native Mob,United States,United States,True,3,3,"['Almighty Vice Lord Nation', 'Bloods', 'People Nation']",[]
Almighty Black P. Stone Nation,Nuestra Familia,United States,United States,True,3,3,"['Black Guerrilla Family', 'Bloods', 'Latin Kings']",[]
Black Guerrilla Family,Zoe Pound,United States,United States,True,3,3,"['Bloods', 'Crips', 'OutLaw Gangster Disciples']",[]
Gambino crime family,Norteños,United States,United States,True,3,3,"['Bloods', 'Crips', 'Latin Kings']",[]
Gambino crime family,Nuestra Familia,United States,United States,True,3,3,"['Bloods', 'Crips', 'Latin Kings']",[]
Latin Kings,Native Mob,United States,United States,True,3,3,"['Almighty Vice Lord Nation', 'Bloods', 'People Nation']",[]
38th Street Gang,Venice 13,United States,United States,True,3,3,"['18th Street Gang', 'Lennox 13', 'Mexican Mafia']",['18th Street Gang']
Clan D'Alessandro,Clan dei Casalesi,Italy,Italy,True,3,3,"[""'Ndrina Bellocco"", ""'Ndrina Pesce"", 'Nuova Famiglia']",['Nuova Famiglia']
Clan Fabbrocino,Vollaro clan,Italy,Italy,True,3,3,"['Clan Ascione', 'Clan Nuvoletta', 'Nuova Famiglia']",[]
Clan Galasso di Poggiomarino,Contini clan,Italy,Italy,True,3,3,"['Cesarano clan', 'Moccia clan', 'Nuova Famiglia']",[]
Latin Kings,Mongols MC,United States,United States,True,3,3,"['Norteños', 'Nuestra Familia', ""Pagan's Motorcycle Club""]",['Norteños']
Almighty Black P. Stone Nation,Almighty Gaylords Nation,United States,United States,True,3,3,"['Almighty Vice Lord Nation', 'Latin Kings', 'People Nation']",[]
Almighty Gaylords Nation,Bloods,United States,United States,True,3,3,"['Almighty Vice Lord Nation', 'Latin Kings', 'People Nation']",[]
Almighty Gaylords Nation,Four Corner Hustlers,United States,United States,True,3,3,"['Almighty Vice Lord Nation', 'Latin Kings', 'People Nation']",[]
Bloods,OutLaw Gangster Disciples,United States,United States,True,3,3,"['Black Guerrilla Family', 'Crips', 'Zoe Pound']",['Crips']
'Ndrina Barbaro,'Ndrina De Stefano,Italy,Italy,True,3,3,"[""'Ndrina Cataldo"", ""'Ndrina Mancuso"", ""'Ndrina Mazzaferro""]",[]
'Ndrina Mazzaferro,'Ndrina Papalia,Italy,Italy,True,3,3,"[""'Ndrina Barbaro"", ""'Ndrina Mancuso"", ""'Ndrina Ursino""]",[]
'Ndrina Mazzaferro,Clan dei Casalesi,Italy,Italy,True,3,3,"[""'Ndrina Mancuso"", ""'Ndrina Morabito"", ""'Ndrina Pesce""]",[]
Albanese-Cutellè-Tassone,Clan dei Casalesi,,Italy,,3,3,"[""'Ndrina Mancuso"", ""'Ndrina Pesce"", ""'Ndrina Piromalli""]",[]
'Ndrina Alvaro,'Ndrina Rosmini,Italy,Italy,True,3,3,"[""'Ndrina De Stefano"", ""'Ndrina Imerti"", ""'Ndrina Serraino""]","[""'Ndrina De Stefano""]"
'Ndrina Giorgi,'Ndrina Mammoliti,Italy,Italy,True,3,3,"[""'Ndrina La Maggiore"", ""'Ndrina Romeo"", ""'Ndrina Strangio""]",[]
'Ndrina Imerti,'Ndrina Pesce,Italy,Italy,True,3,3,"[""'Ndrina Alvaro"", ""'Ndrina Gallico"", ""'Ndrina Serraino""]",[]
'Ndrina Piromalli,Basilischi,Italy,Italy,True,3,3,"[""'Ndrina Mammoliti"", ""'Ndrina Pesce"", ""'Ndrina Serraino""]","[""'Ndrina Mammoliti""]"
'Ndrina Bruzzaniti,'Ndrina Lo Presti,Italy,Italy,True,3,3,"[""'Ndrina Mazzaferro"", ""'Ndrina Morabito"", ""'Ndrina Palamara""]",[]
'Ndrina Lo Presti,'Ndrina Mancuso,Italy,Italy,True,3,3,"[""'Ndrina Barbaro"", ""'Ndrina Mazzaferro"", ""'Ndrina Morabito""]",[]
'Ndrina Lo Presti,'Ndrina Mandalari,Italy,Italy,True,3,3,"[""'Ndrina Morabito"", ""'Ndrina Palamara"", ""Commisso 'ndrina""]",[]
'Ndrina Mazzaferro,'Ndrina Palamara,Italy,Italy,True,3,3,"[""'Ndrina Bruzzaniti"", ""'Ndrina Lo Presti"", ""'Ndrina Morabito""]",[]
'Ndrina Mazzaferro,Basilischi,Italy,Italy,True,3,3,"[""'Ndrina Mammoliti"", ""'Ndrina Morabito"", ""'Ndrina Pesce""]",[]
'Ndrina Molè,'Ndrina Serraino,Italy,Italy,True,3,3,"[""'Ndrina Alvaro"", ""'Ndrina Pesce"", ""'Ndrina Piromalli""]",[]
'Ndrina Molè,Clan dei Casalesi,Italy,Italy,True,3,3,"[""'Ndrina Bellocco"", ""'Ndrina Pesce"", ""'Ndrina Piromalli""]",[]
'Ndrina Serraino,Aquino 'ndrina,Italy,Italy,True,3,3,"[""'Ndrina Alvaro"", ""'Ndrina Pesce"", ""'Ndrina Piromalli""]",[]
'Ndrina Alvaro,'Ndrina Mandalari,Italy,Italy,True,3,3,"[""'Ndrina Molè"", ""'Ndrina Palamara"", ""Commisso 'ndrina""]",[]
Al-Shabaab,Ansaru,Somalia,,,3,3,"['Al-Qaeda', 'Al-Qaeda in the Islamic Maghreb', 'Boko Haram']",[]
Boko Haram,Taliban,Nigeria,Afghanistan,False,3,3,"['Al-Qaeda', 'Al-Shabaab', 'Islamic State']",['Islamic State']
'Ndrina Cataldo,'Ndrina Costa,Italy,Italy,True,3,3,"[""'Ndrina Ierinò"", ""'Ndrina Mazzaferro"", ""Commisso 'ndrina""]","[""Commisso 'ndrina""]"
'Ndrina Costa,'Ndrina Lo Presti,Italy,Italy,True,3,3,"[""'Ndrina Ierinò"", ""'Ndrina Mazzaferro"", ""Commisso 'ndrina""]","[""Commisso 'ndrina""]"
Buffalo crime family,Lucchese crime family Brooklyn faction,United States,United States,True,3,3,"['Bonanno crime family', 'Colombo crime family', 'Genovese crime family']",['Bonanno crime family']
Buffalo crime family,Lucchese crime family New Jersey faction,United States,United States,True,3,3,"['Bonanno crime family', 'Colombo crime family', 'Genovese crime family']",['Bonanno crime family']
Chicago Outfit,East Harlem Purple Gang,United States,United States,True,3,3,"['Bonanno crime family', 'Genovese crime family', 'Lucchese crime family']",['Bonanno crime family']
Chicago Outfit,Lucchese crime family New Jersey faction,United States,United States,True,3,3,"['Bonanno crime family', 'Colombo crime family', 'Genovese crime family']",[]
Lucchese crime family,Outlaws Motorcycle Club,United States,United States,True,3,3,"['Buffalo crime family', 'Chicago Outfit', 'Genovese crime family']",['Genovese crime family']
Colombo crime family,Colorado crime family,United States,United States,True,3,3,"['Bonanno crime family', 'Chicago Outfit', 'Los Angeles crime family']",['Bonanno crime family']
Colorado crime family,San Jose crime family,United States,United States,True,3,3,"['Bonanno crime family', 'Chicago Outfit', 'Los Angeles crime family']",[]
Chicago Outfit,Rochester crime family,United States,United States,True,3,3,"['Bonanno crime family', 'Buffalo crime family', 'Pittsburgh crime family']",['Buffalo crime family']
18th Street Gang,Cartel del Norte del Valle,United States,Colombia,False,3,3,"['Beltrán-Leyva Organization', 'Juárez Cartel', 'Tijuana Cartel']",[]
Independent Cartel of Acapulco,Los Zetas,Mexico,Mexico,True,3,3,"['Beltrán-Leyva Organization', 'Guerreros Unidos', 'Milenio Cartel']",['Milenio Cartel']
Popular Front for the Liberation of Palestine,Sinaloa Cartel,Palestine,Mexico,False,3,3,"['Hamas', 'Hezbollah', 'Revolutionary Armed Forces of Colombia']",[]
116th Street Crew,Buffalo crime family,United States,United States,True,3,3,"['Bonanno crime family', 'Colombo crime family', 'Lucchese crime family']",['Bonanno crime family']
Buffalo crime family,Greenwich Village Crew,United States,United States,True,3,3,"['Bonanno crime family', 'Colombo crime family', 'Lucchese crime family']",['Bonanno crime family']
Colorado crime family,Trafficante crime family,United States,United States,True,3,3,"['Bonanno crime family', 'Chicago Outfit', 'New Orleans crime family']",[]
'Ndrina Barbaro,'Ndrina Grande Aracri,Italy,Italy,True,3,3,"[""'Ndrina Arena"", ""'Ndrina Nicoscia"", ""'Ndrina Pelle""]","[""'Ndrina Arena""]"
'Ndrina Arena,'Ndrina Bubbo,Italy,Italy,True,3,3,"[""'Ndrina Barbaro"", ""'Ndrina Nicoscia"", ""'Ndrina Paparo""]","[""'Ndrina Nicoscia""]"
'Ndrina Marando,'Ndrina Trovato,Italy,Italy,True,3,3,"[""'Ndrina Barbaro"", ""'Ndrina Papalia"", ""Sergi 'ndrina""]",[]
'Ndrina Trovato,Molluso 'ndrina,Italy,Italy,True,3,3,"[""'Ndrina Barbaro"", ""'Ndrina Papalia"", ""Sergi 'ndrina""]",[]
'Ndrina Trovato,Trimboli 'ndrina,Italy,Italy,True,3,3,"[""'Ndrina Barbaro"", ""'Ndrina Papalia"", ""Sergi 'ndrina""]",[]
'Ndrina Barbaro,'Ndrina Ierinò,Italy,Italy,True,3,3,"[""'Ndrina Cataldo"", ""'Ndrina Lo Presti"", ""'Ndrina Mazzaferro""]","[""'Ndrina Mazzaferro""]"
'Ndrina Barbaro,Commisso 'ndrina,Italy,Italy,True,3,3,"[""'Ndrina Cataldo"", ""'Ndrina Lo Presti"", ""'Ndrina Mazzaferro""]",[]
'Ndrina Costa,'Ndrina Pesce,Italy,Italy,True,3,3,"[""'Ndrina Ierinò"", ""'Ndrina Mazzaferro"", ""'Ndrina Piromalli""]",[]
'Ndrina Palamara,Commisso 'ndrina,Italy,Italy,True,3,3,"[""'Ndrina Alvaro"", ""'Ndrina Lo Presti"", ""'Ndrina Mandalari""]",[]
'Ndrina Morabito,'Ndrina Romeo,Italy,Italy,True,3,3,"[""'Ndrina Codispoti"", ""'Ndrina Giorgi"", ""'Ndrina Mandalari""]",[]
'Ndrina Condello,Latella 'ndrina,Italy,Italy,True,3,3,"[""'Ndrina Barreca"", ""'Ndrina Libri"", ""'Ndrina Rosmini""]","[""'Ndrina Barreca""]"
'Ndrina Giglio,'Ndrina Pane,Italy,Italy,True,3,3,"[""'Ndrina Farao-Marincola"", ""'Ndrina Grande Aracri"", ""'Ndrina Mannolo""]",[]
Colorado crime family,Dallas crime family,United States,United States,True,3,3,"['Chicago Outfit', 'Kansas City crime family', 'New Orleans crime family']",[]
Bloods,Mickey Cobras,United States,United States,True,3,3,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'People Nation']",['Almighty Vice Lord Nation']
Four Corner Hustlers,Mickey Cobras,United States,United States,True,3,3,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'People Nation']",['Almighty Vice Lord Nation']
Latin Kings,Mickey Cobras,United States,United States,True,3,3,"['Almighty Black P. Stone Nation', 'Almighty Vice Lord Nation', 'People Nation']",['Almighty Vice Lord Nation']
Asano-gumi,Shinwa-kai,Japan,Japan,True,3,3,"['Goda-ikka', 'Kyodo-kai', 'Kyosei-kai']",['Kyodo-kai']
Chichesters,Shirt Tails,United States,United States,True,3,3,"['Dead Rabbits', 'Forty Thieves', 'Kerryonians']",[]
Forty Elephants,Forty Thieves,United Kingdom,United States,False,3,3,"['Dead Rabbits', 'Kerryonians', 'Shirt Tails']",[]
Campanella Park Piru,Elm Street Piru,,United States,,3,3,"['Cedar Block Piru', 'Fruit Town Piru', 'Tree Top Piru']",[]
Campanella Park Piru,West Side Piru,,,,3,3,"['Cedar Block Piru', 'Fruit Town Piru', 'Tree Top Piru']",[]
