dia_semana;hour;mortos
domingo;0;87.0
domingo;1;70.0
domingo;2;55.0
domingo;3;93.0
domingo;4;159.0
domingo;5;90.0
domingo;6;120.0
domingo;7;62.0
domingo;8;65.0
domingo;9;78.0
domingo;10;60.0
domingo;11;54.0
domingo;12;55.0
domingo;13;44.0
domingo;14;220.0
domingo;15;89.0
domingo;16;91.0
domingo;17;99.0
domingo;18;177.0
domingo;19;215.0
domingo;20;199.0
domingo;21;114.0
domingo;22;76.0
domingo;23;74.0
quarta-feira;0;23.0
quarta-feira;1;21.0
quarta-feira;2;2.0
quarta-feira;3;27.0
quarta-feira;4;28.0
quarta-feira;5;28.0
quarta-feira;6;49.0
quarta-feira;7;39.0
quarta-feira;8;32.0
quarta-feira;9;51.0
quarta-feira;10;32.0
quarta-feira;11;30.0
quarta-feira;12;51.0
quarta-feira;13;40.0
quarta-feira;14;30.0
quarta-feira;15;64.0
quarta-feira;16;74.0
quarta-feira;17;61.0
quarta-feira;18;101.0
quarta-feira;19;96.0
quarta-feira;20;54.0
quarta-feira;21;96.0
quarta-feira;22;25.0
quarta-feira;23;36.0
quinta-feira;0;34.0
quinta-feira;1;37.0
quinta-feira;2;33.0
quinta-feira;3;24.0
quinta-feira;4;42.0
quinta-feira;5;60.0
quinta-feira;6;642.0
quinta-feira;7;42.0
quinta-feira;8;20.0
quinta-feira;9;37.0
quinta-feira;10;30.0
quinta-feira;11;55.0
quinta-feira;12;33.0
quinta-feira;13;129.0
quinta-feira;14;52.0
quinta-feira;15;74.0
quinta-feira;16;53.0
quinta-feira;17;82.0
quinta-feira;18;79.0
quinta-feira;19;105.0
quinta-feira;20;63.0
quinta-feira;21;44.0
quinta-feira;22;68.0
quinta-feira;23;30.0
segunda-feira;0;56.0
segunda-feira;1;59.0
segunda-feira;2;26.0
segunda-feira;3;35.0
segunda-feira;4;62.0
segunda-feira;5;72.0
segunda-feira;6;60.0
segunda-feira;7;73.0
segunda-feira;8;43.0
segunda-feira;9;39.0
segunda-feira;10;65.0
segunda-feira;11;59.0
segunda-feira;12;26.0
segunda-feira;13;26.0
segunda-feira;14;72.0
segunda-feira;15;53.0
segunda-feira;16;73.0
segunda-feira;17;133.0
segunda-feira;18;95.0
segunda-feira;19;76.0
segunda-feira;20;71.0
segunda-feira;21;49.0
segunda-feira;22;43.0
segunda-feira;23;36.0
sexta-feira;0;23.0
sexta-feira;1;23.0
sexta-feira;2;20.0
sexta-feira;3;32.0
sexta-feira;4;40.0
sexta-feira;5;50.0
sexta-feira;6;55.0
sexta-feira;7;66.0
sexta-feira;8;66.0
sexta-feira;9;45.0
sexta-feira;10;31.0
sexta-feira;11;39.0
sexta-feira;12;43.0
sexta-feira;13;51.0
sexta-feira;14;59.0
sexta-feira;15;83.0
sexta-feira;16;76.0
sexta-feira;17;66.0
sexta-feira;18;133.0
sexta-feira;19;97.0
sexta-feira;20;79.0
sexta-feira;21;111.0
sexta-feira;22;72.0
sexta-feira;23;42.0
terça-feira;0;19.0
terça-feira;1;17.0
terça-feira;2;16.0
terça-feira;3;55.0
terça-feira;4;21.0
terça-feira;5;71.0
terça-feira;6;52.0
terça-feira;7;20.0
terça-feira;8;41.0
terça-feira;9;52.0
terça-feira;10;24.0
terça-feira;11;19.0
terça-feira;12;47.0
terça-feira;13;35.0
terça-feira;14;85.0
terça-feira;15;51.0
terça-feira;16;49.0
terça-feira;17;64.0
terça-feira;18;92.0
terça-feira;19;65.0
terça-feira;20;81.0
terça-feira;21;89.0
terça-feira;22;38.0
terça-feira;23;38.0
