dia_semana;hour;mortos
domingo;0;60
domingo;1;40
domingo;2;44
domingo;3;60
domingo;4;74
domingo;5;64
domingo;6;51
domingo;7;30
domingo;8;37
domingo;9;28
domingo;10;34
domingo;11;18
domingo;12;34
domingo;13;39
domingo;14;51
domingo;15;84
domingo;16;73
domingo;17;101
domingo;18;147
domingo;19;140
domingo;20;99
domingo;21;79
domingo;22;49
domingo;23;52
quarta-feira;0;15
quarta-feira;1;21
quarta-feira;2;7
quarta-feira;3;15
quarta-feira;4;17
quarta-feira;5;31
quarta-feira;6;32
quarta-feira;7;34
quarta-feira;8;27
quarta-feira;9;29
quarta-feira;10;20
quarta-feira;11;18
quarta-feira;12;31
quarta-feira;13;24
quarta-feira;14;47
quarta-feira;15;43
quarta-feira;16;45
quarta-feira;17;36
quarta-feira;18;62
quarta-feira;19;51
quarta-feira;20;42
quarta-feira;21;21
quarta-feira;22;31
quarta-feira;23;46
quinta-feira;0;25
quinta-feira;1;24
quinta-feira;2;9
quinta-feira;3;10
quinta-feira;4;32
quinta-feira;5;37
quinta-feira;6;27
quinta-feira;7;26
quinta-feira;8;28
quinta-feira;9;24
quinta-feira;10;20
quinta-feira;11;16
quinta-feira;12;22
quinta-feira;13;34
quinta-feira;14;31
quinta-feira;15;29
quinta-feira;16;36
quinta-feira;17;35
quinta-feira;18;56
quinta-feira;19;44
quinta-feira;20;45
quinta-feira;21;39
quinta-feira;22;39
quinta-feira;23;33
segunda-feira;0;23
segunda-feira;1;25
segunda-feira;2;32
segunda-feira;3;34
segunda-feira;4;30
segunda-feira;5;31
segunda-feira;6;34
segunda-feira;7;32
segunda-feira;8;29
segunda-feira;9;24
segunda-feira;10;28
segunda-feira;11;38
segunda-feira;12;19
segunda-feira;13;40
segunda-feira;14;31
segunda-feira;15;31
segunda-feira;16;24
segunda-feira;17;34
segunda-feira;18;59
segunda-feira;19;51
segunda-feira;20;46
segunda-feira;21;47
segunda-feira;22;26
segunda-feira;23;31
sexta-feira;0;28
sexta-feira;1;25
sexta-feira;2;19
sexta-feira;3;22
sexta-feira;4;33
sexta-feira;5;41
sexta-feira;6;41
sexta-feira;7;51
sexta-feira;8;26
sexta-feira;9;23
sexta-feira;10;41
sexta-feira;11;30
sexta-feira;12;36
sexta-feira;13;32
sexta-feira;14;36
sexta-feira;15;43
sexta-feira;16;37
sexta-feira;17;43
sexta-feira;18;61
sexta-feira;19;93
sexta-feira;20;65
sexta-feira;21;46
sexta-feira;22;40
sexta-feira;23;53
sábado;0;35
sábado;1;56
sábado;2;28
sábado;3;40
sábado;4;52
sábado;5;55
sábado;6;46
sábado;7;31
sábado;8;29
sábado;9;24
sábado;10;22
sábado;11;35
sábado;12;34
sábado;13;30
sábado;14;49
sábado;15;66
sábado;16;64
sábado;17;60
sábado;18;91
sábado;19;127
sábado;20;103
sábado;21;89
sábado;22;59
sábado;23;55
terça-feira;0;8
terça-feira;1;12
terça-feira;2;14
terça-feira;3;20
terça-feira;4;13
terça-feira;5;36
terça-feira;6;29
terça-feira;7;30
terça-feira;8;29
terça-feira;9;17
terça-feira;10;11
terça-feira;11;35
terça-feira;12;27
terça-feira;13;22
terça-feira;14;42
terça-feira;15;36
terça-feira;16;43
terça-feira;17;36
terça-feira;18;62
terça-feira;19;59
terça-feira;20;47
terça-feira;21;59
terça-feira;22;32
terça-feira;23;25
