dia_semana;hour;mortos
domingo;0;36.0
domingo;1;41.0
domingo;2;28.0
domingo;3;42.0
domingo;4;29.0
domingo;5;35.0
domingo;6;24.0
domingo;7;25.0
domingo;8;23.0
domingo;9;20.0
domingo;10;23.0
domingo;11;18.0
domingo;12;23.0
domingo;13;23.0
domingo;14;33.0
domingo;15;35.0
domingo;16;48.0
domingo;17;39.0
domingo;18;79.0
domingo;19;93.0
domingo;20;74.0
domingo;21;59.0
domingo;22;44.0
domingo;23;35.0
quarta-feira;0;15.0
quarta-feira;1;15.0
quarta-feira;2;8.0
quarta-feira;3;9.0
quarta-feira;4;8.0
quarta-feira;5;16.0
quarta-feira;6;21.0
quarta-feira;7;19.0
quarta-feira;8;15.0
quarta-feira;9;17.0
quarta-feira;10;16.0
quarta-feira;11;19.0
quarta-feira;12;18.0
quarta-feira;13;16.0
quarta-feira;14;24.0
quarta-feira;15;12.0
quarta-feira;16;27.0
quarta-feira;17;30.0
quarta-feira;18;48.0
quarta-feira;19;44.0
quarta-feira;20;36.0
quarta-feira;21;36.0
quarta-feira;22;23.0
quarta-feira;23;24.0
quinta-feira;0;13.0
quinta-feira;1;21.0
quinta-feira;2;14.0
quinta-feira;3;11.0
quinta-feira;4;12.0
quinta-feira;5;19.0
quinta-feira;6;29.0
quinta-feira;7;19.0
quinta-feira;8;23.0
quinta-feira;9;26.0
quinta-feira;10;16.0
quinta-feira;11;23.0
quinta-feira;12;28.0
quinta-feira;13;22.0
quinta-feira;14;25.0
quinta-feira;15;19.0
quinta-feira;16;25.0
quinta-feira;17;30.0
quinta-feira;18;49.0
quinta-feira;19;39.0
quinta-feira;20;36.0
quinta-feira;21;30.0
quinta-feira;22;21.0
quinta-feira;23;10.0
segunda-feira;0;26.0
segunda-feira;1;15.0
segunda-feira;2;27.0
segunda-feira;3;18.0
segunda-feira;4;20.0
segunda-feira;5;20.0
segunda-feira;6;30.0
segunda-feira;7;38.0
segunda-feira;8;14.0
segunda-feira;9;15.0
segunda-feira;10;20.0
segunda-feira;11;14.0
segunda-feira;12;19.0
segunda-feira;13;28.0
segunda-feira;14;17.0
segunda-feira;15;22.0
segunda-feira;16;31.0
segunda-feira;17;37.0
segunda-feira;18;43.0
segunda-feira;19;37.0
segunda-feira;20;32.0
segunda-feira;21;20.0
segunda-feira;22;22.0
segunda-feira;23;13.0
sexta-feira;0;17.0
sexta-feira;1;10.0
sexta-feira;2;15.0
sexta-feira;3;19.0
sexta-feira;4;24.0
sexta-feira;5;24.0
sexta-feira;6;24.0
sexta-feira;7;20.0
sexta-feira;8;19.0
sexta-feira;9;13.0
sexta-feira;10;18.0
sexta-feira;11;15.0
sexta-feira;12;25.0
sexta-feira;13;36.0
sexta-feira;14;21.0
sexta-feira;15;28.0
sexta-feira;16;37.0
sexta-feira;17;31.0
sexta-feira;18;61.0
sexta-feira;19;56.0
sexta-feira;20;54.0
sexta-feira;21;38.0
sexta-feira;22;39.0
sexta-feira;23;30.0
sábado;0;31.0
sábado;1;22.0
sábado;2;29.0
sábado;3;29.0
sábado;4;37.0
sábado;5;41.0
sábado;6;29.0
sábado;7;30.0
sábado;8;15.0
sábado;9;22.0
sábado;10;12.0
sábado;11;21.0
sábado;12;27.0
sábado;13;24.0
sábado;14;37.0
sábado;15;33.0
sábado;16;36.0
sábado;17;45.0
sábado;18;87.0
sábado;19;76.0
sábado;20;60.0
sábado;21;53.0
sábado;22;47.0
sábado;23;54.0
terça-feira;0;7.0
terça-feira;1;13.0
terça-feira;2;10.0
terça-feira;3;16.0
terça-feira;4;13.0
terça-feira;5;26.0
terça-feira;6;22.0
terça-feira;7;24.0
terça-feira;8;17.0
terça-feira;9;15.0
terça-feira;10;24.0
terça-feira;11;19.0
terça-feira;12;16.0
terça-feira;13;23.0
terça-feira;14;19.0
terça-feira;15;27.0
terça-feira;16;21.0
terça-feira;17;22.0
terça-feira;18;39.0
terça-feira;19;46.0
terça-feira;20;26.0
terça-feira;21;20.0
terça-feira;22;23.0
terça-feira;23;23.0
