dia_semana;hour;mortos
domingo;0;49
domingo;1;60
domingo;2;52
domingo;3;58
domingo;4;91
domingo;5;105
domingo;6;52
domingo;7;46
domingo;8;23
domingo;9;58
domingo;10;45
domingo;11;52
domingo;12;59
domingo;13;47
domingo;14;70
domingo;15;87
domingo;16;105
domingo;17;107
domingo;18;173
domingo;19;156
domingo;20;142
domingo;21;81
domingo;22;89
domingo;23;81
quarta-feira;0;15
quarta-feira;1;19
quarta-feira;2;21
quarta-feira;3;14
quarta-feira;4;23
quarta-feira;5;48
quarta-feira;6;41
quarta-feira;7;40
quarta-feira;8;26
quarta-feira;9;27
quarta-feira;10;33
quarta-feira;11;19
quarta-feira;12;33
quarta-feira;13;37
quarta-feira;14;50
quarta-feira;15;37
quarta-feira;16;30
quarta-feira;17;53
quarta-feira;18;75
quarta-feira;19;66
quarta-feira;20;68
quarta-feira;21;42
quarta-feira;22;44
quarta-feira;23;37
quinta-feira;0;22
quinta-feira;1;21
quinta-feira;2;17
quinta-feira;3;21
quinta-feira;4;48
quinta-feira;5;36
quinta-feira;6;44
quinta-feira;7;37
quinta-feira;8;47
quinta-feira;9;38
quinta-feira;10;40
quinta-feira;11;44
quinta-feira;12;31
quinta-feira;13;33
quinta-feira;14;43
quinta-feira;15;54
quinta-feira;16;41
quinta-feira;17;44
quinta-feira;18;58
quinta-feira;19;73
quinta-feira;20;71
quinta-feira;21;49
quinta-feira;22;40
quinta-feira;23;45
segunda-feira;0;35
segunda-feira;1;45
segunda-feira;2;23
segunda-feira;3;19
segunda-feira;4;25
segunda-feira;5;54
segunda-feira;6;68
segunda-feira;7;54
segunda-feira;8;47
segunda-feira;9;34
segunda-feira;10;33
segunda-feira;11;49
segunda-feira;12;39
segunda-feira;13;33
segunda-feira;14;61
segunda-feira;15;43
segunda-feira;16;37
segunda-feira;17;54
segunda-feira;18;73
segunda-feira;19;58
segunda-feira;20;36
segunda-feira;21;44
segunda-feira;22;40
segunda-feira;23;42
sexta-feira;0;21
sexta-feira;1;27
sexta-feira;2;21
sexta-feira;3;15
sexta-feira;4;38
sexta-feira;5;48
sexta-feira;6;58
sexta-feira;7;72
sexta-feira;8;32
sexta-feira;9;36
sexta-feira;10;37
sexta-feira;11;40
sexta-feira;12;40
sexta-feira;13;32
sexta-feira;14;56
sexta-feira;15;52
sexta-feira;16;54
sexta-feira;17;73
sexta-feira;18;106
sexta-feira;19;101
sexta-feira;20;83
sexta-feira;21;75
sexta-feira;22;59
sexta-feira;23;61
terça-feira;0;22
terça-feira;1;17
terça-feira;2;39
terça-feira;3;15
terça-feira;4;27
terça-feira;5;50
terça-feira;6;41
terça-feira;7;40
terça-feira;8;30
terça-feira;9;43
terça-feira;10;39
terça-feira;11;17
terça-feira;12;18
terça-feira;13;28
terça-feira;14;44
terça-feira;15;45
terça-feira;16;47
terça-feira;17;56
terça-feira;18;81
terça-feira;19;71
terça-feira;20;47
terça-feira;21;60
terça-feira;22;30
terça-feira;23;25
