dia_semana;hour;mortos
domingo;0;36.0
domingo;1;31.0
domingo;2;24.0
domingo;3;25.0
domingo;4;40.0
domingo;5;40.0
domingo;6;40.0
domingo;7;16.0
domingo;8;26.0
domingo;9;24.0
domingo;10;21.0
domingo;11;21.0
domingo;12;16.0
domingo;13;16.0
domingo;14;24.0
domingo;15;35.0
domingo;16;31.0
domingo;17;45.0
domingo;18;69.0
domingo;19;81.0
domingo;20;62.0
domingo;21;50.0
domingo;22;38.0
domingo;23;28.0
quarta-feira;0;14.0
quarta-feira;1;8.0
quarta-feira;2;7.0
quarta-feira;3;10.0
quarta-feira;4;14.0
quarta-feira;5;32.0
quarta-feira;6;30.0
quarta-feira;7;25.0
quarta-feira;8;13.0
quarta-feira;9;9.0
quarta-feira;10;18.0
quarta-feira;11;16.0
quarta-feira;12;17.0
quarta-feira;13;21.0
quarta-feira;14;21.0
quarta-feira;15;20.0
quarta-feira;16;18.0
quarta-feira;17;31.0
quarta-feira;18;40.0
quarta-feira;19;39.0
quarta-feira;20;34.0
quarta-feira;21;23.0
quarta-feira;22;22.0
quarta-feira;23;21.0
quinta-feira;0;21.0
quinta-feira;1;9.0
quinta-feira;2;15.0
quinta-feira;3;17.0
quinta-feira;4;17.0
quinta-feira;5;26.0
quinta-feira;6;23.0
quinta-feira;7;16.0
quinta-feira;8;23.0
quinta-feira;9;14.0
quinta-feira;10;22.0
quinta-feira;11;19.0
quinta-feira;12;18.0
quinta-feira;13;17.0
quinta-feira;14;19.0
quinta-feira;15;26.0
quinta-feira;16;19.0
quinta-feira;17;34.0
quinta-feira;18;31.0
quinta-feira;19;48.0
quinta-feira;20;37.0
quinta-feira;21;26.0
quinta-feira;22;19.0
quinta-feira;23;14.0
segunda-feira;0;22.0
segunda-feira;1;20.0
segunda-feira;2;16.0
segunda-feira;3;19.0
segunda-feira;4;20.0
segunda-feira;5;26.0
segunda-feira;6;29.0
segunda-feira;7;22.0
segunda-feira;8;16.0
segunda-feira;9;15.0
segunda-feira;10;14.0
segunda-feira;11;14.0
segunda-feira;12;23.0
segunda-feira;13;18.0
segunda-feira;14;23.0
segunda-feira;15;24.0
segunda-feira;16;30.0
segunda-feira;17;24.0
segunda-feira;18;34.0
segunda-feira;19;39.0
segunda-feira;20;21.0
segunda-feira;21;17.0
segunda-feira;22;20.0
segunda-feira;23;13.0
sexta-feira;0;21.0
sexta-feira;1;9.0
sexta-feira;2;8.0
sexta-feira;3;18.0
sexta-feira;4;17.0
sexta-feira;5;34.0
sexta-feira;6;34.0
sexta-feira;7;21.0
sexta-feira;8;13.0
sexta-feira;9;17.0
sexta-feira;10;11.0
sexta-feira;11;21.0
sexta-feira;12;25.0
sexta-feira;13;17.0
sexta-feira;14;28.0
sexta-feira;15;19.0
sexta-feira;16;35.0
sexta-feira;17;38.0
sexta-feira;18;56.0
sexta-feira;19;53.0
sexta-feira;20;45.0
sexta-feira;21;49.0
sexta-feira;22;36.0
sexta-feira;23;19.0
sábado;0;24.0
sábado;1;24.0
sábado;2;33.0
sábado;3;35.0
sábado;4;44.0
sábado;5;41.0
sábado;6;24.0
sábado;7;22.0
sábado;8;22.0
sábado;9;23.0
sábado;10;17.0
sábado;11;23.0
sábado;12;22.0
sábado;13;20.0
sábado;14;28.0
sábado;15;28.0
sábado;16;25.0
sábado;17;28.0
sábado;18;54.0
sábado;19;72.0
sábado;20;50.0
sábado;21;43.0
sábado;22;39.0
sábado;23;38.0
terça-feira;0;8.0
terça-feira;1;8.0
terça-feira;2;16.0
terça-feira;3;9.0
terça-feira;4;13.0
terça-feira;5;19.0
terça-feira;6;27.0
terça-feira;7;20.0
terça-feira;8;15.0
terça-feira;9;24.0
terça-feira;10;17.0
terça-feira;11;11.0
terça-feira;12;10.0
terça-feira;13;20.0
terça-feira;14;25.0
terça-feira;15;22.0
terça-feira;16;23.0
terça-feira;17;27.0
terça-feira;18;30.0
terça-feira;19;46.0
terça-feira;20;19.0
terça-feira;21;20.0
terça-feira;22;28.0
terça-feira;23;13.0
